2025-09-09 13:12:23.282 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:12:23.362 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:12:23.609 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:12:23.609 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:13:18.174 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:13:18.244 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:13:18.492 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:13:18.492 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:27:24.538 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:27:24.614 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:27:24.864 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:27:24.864 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:30:58.888 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:30:58.996 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:30:59.238 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:30:59.238 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:38:47.707 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:38:47.813 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:38:48.072 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:38:48.072 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:39:14.007 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:39:14.082 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:39:14.314 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:39:14.314 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:40:05.744 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:40:05.854 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:40:06.089 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:40:06.089 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:41:39.698 | INFO     | get_stock_punished_info:fetch_data:31 - Data fetched successfully from TWSE
2025-09-09 13:41:39.820 | INFO     | get_stock_punished_info:fetch_data:39 - Data fetched successfully from OTC
2025-09-09 13:41:40.060 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
2025-09-09 13:41:40.060 | WARNING  | importlib._bootstrap:_call_with_frames_removed:241 - Optional: pip install shioaji[speed] or uv add shioaji --extra speed for better performance.
